"Date et heure","Date et heure(RAW)","Somme","Somme(RAW)","Processeur 1","Processeur 1(RAW)","Processeur 2","Processeur 2(RAW)","Processeur 3","Processeur 3(RAW)","Processeur 4","Processeur 4(RAW)","Processeur 5","Processeur 5(RAW)","Processeur 6","Processeur 6(RAW)","Processeur 7","Processeur 7(RAW)","Processeur 8","Processeur 8(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","","","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","","","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","12 %","11.5833","6 %","5.7500","7 %","7.3333","26 %","26.5000","9 %","9.4167","7 %","7.1667","7 %","7.0000","18 %","18.0000","12 %","11.5000","0 %","0.0000","40 %","0000004000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","0,08 %","0.0833","","0.0833","","0.0833","","0.0833","","0.3333","","0.0833","","0.1667","","0.0833","","0.0833","0 %","0.0000","40 %","0000004000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","0,08 %","0.0833","","0.0833","","0.0833","","0.1667","","0.4167","","0.0833","","0.0833","","0.1667","","0.0833","0 %","0.0000","40 %","0000004000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","27 %","26.9167","18 %","17.9167","33 %","32.5833","28 %","27.5833","33 %","33.1667","32 %","32.2500","19 %","18.5833","30 %","30.2500","24 %","23.7500","0 %","0.0000","40 %","0000004000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","30 %","29.6667","18 %","18.0000","36 %","35.5000","30 %","30.4167","36 %","35.6667","35 %","35.1667","19 %","18.5833","36 %","36.4167","27 %","26.5833","0 %","0.0000","40 %","0000004000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","30 %","30.2500","21 %","21.0000","35 %","34.5833","31 %","31.4167","34 %","34.4167","36 %","35.9167","21 %","20.5833","34 %","34.5000","29 %","29.0000","0 %","0.0000","40 %","0000004000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","5,08 %","5.0833","3 %","3.0000","5 %","4.9167","6 %","5.6667","6 %","6.0833","5 %","5.3333","3 %","2.8333","8 %","8.4167","5 %","4.9167","0 %","0.0000","40 %","0000004000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","5,42 %","5.4167","1 %","1.2500","6 %","6.1667","7 %","6.5833","8 %","7.6667","8 %","7.5000","1 %","1.3333","8 %","7.5833","6 %","5.6667","0 %","0.0000","40 %","0000004000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","9,08 %","9.0833","4 %","4.5000","8 %","8.2500","9 %","9.1667","12 %","12.1667","11 %","11.3333","8 %","7.5833","10 %","10.2500","9 %","8.9167","0 %","0.0000","40 %","0000004000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","2,46 %","2.4615","","0.6923","3 %","3.0000","4 %","3.8462","2 %","2.4615","3 %","2.7692","1 %","1.3077","3 %","3.3077","2 %","1.6154","0 %","0.0000","43 %","0000004333"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","0,83 %","0.8333","","0.2500","","0.8333","2 %","2.0833","2 %","1.5000","","0.5833","","0.2500","1 %","1.4167","","0.5000","0 %","0.0000","40 %","0000004000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","11 %","11.2500","9 %","9.0833","10 %","10.4167","17 %","17.0000","10 %","10.4167","10 %","10.4167","10 %","10.2500","13 %","13.1667","9 %","9.4167","0 %","0.0000","40 %","0000004000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","2,25 %","2.2500","","0.9167","2 %","2.5000","4 %","4.3333","3 %","2.7500","2 %","2.5000","","0.9167","3 %","3.0833","1 %","1.0833","0 %","0.0000","40 %","0000004000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","2,83 %","2.8333","1 %","1.2500","3 %","2.8333","4 %","4.0000","4 %","4.0833","3 %","3.2500","1 %","1.2500","5 %","4.9167","2 %","1.8333","0 %","0.0000","40 %","0000004000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","1,75 %","1.7500","","0.4167","1 %","1.3333","4 %","4.4167","2 %","2.1667","1 %","1.3333","","0.6667","3 %","2.8333","","0.8333","0 %","0.0000","40 %","0000004000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","11 %","10.7500","7 %","6.9167","12 %","12.1667","10 %","10.4167","13 %","13.1667","13 %","12.6667","7 %","7.0000","13 %","13.3333","10 %","10.5000","0 %","0.0000","40 %","0000004000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","0,42 %","0.4167","","0.0833","","0.5000","","0.5833","1 %","1.0833","","0.6667","","0.2500","","0.5000","","0.0833","0 %","0.0000","40 %","0000004000"
