"Date et heure","Date et heure(RAW)","Mémoire disponible (%)","Mémoire disponible (%)(RAW)","Mémoire disponible","Mémoire disponible(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","11 %","11.0000","7,19 Go","7722678954.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","11 %","11.0000","7,16 Go","7685438805.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","11 %","11.0000","7,15 Go","7676203690.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","11 %","11.0000","7,09 Go","7618055509.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","11 %","11.0000","7,08 Go","7604647253.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","11 %","10.8333","7 Go","7515415893.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","11 %","11.0000","7,08 Go","7597842432.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","11 %","11.0000","7,08 Go","7598650026.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","11 %","11.0000","7,05 Go","7566289578.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","11 %","11.0000","7,09 Go","7615255552.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","11 %","11.0000","7,16 Go","7692244309.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","11 %","11.0000","7,17 Go","7694314837.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","11 %","11.0000","7,17 Go","7699092138.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","11 %","11.0000","7,16 Go","7690305536.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","11 %","11.0000","7,15 Go","7679654570.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","11 %","11.0000","7,15 Go","7672332288.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","11 %","11.0000","7,15 Go","7676366848.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 19:00:00 - 20:00:00","45517.7500000000","11 %","11.0000","7,17 Go","7697511765.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 20:00:00 - 21:00:00","45517.7916666667","11 %","11.0000","7,16 Go","7690651648.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 21:00:00 - 22:00:00","45517.8333333333","11 %","11.0000","7,15 Go","7681869141.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 22:00:00 - 23:00:00","45517.8750000000","11 %","11.0000","7,16 Go","7686135125.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 23:00:00 - 00:00:00","45517.9166666667","11 %","11.0000","7,14 Go","7664407210.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 00:00:00 - 01:00:00","45517.9583333333","11 %","11.0000","7,10 Go","7621274965.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 01:00:00 - 02:00:00","45518.0000000000","11 %","11.0000","7,14 Go","7662768810.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 02:00:00 - 03:00:00","45518.0416666667","11 %","11.0000","7,05 Go","7566150997.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 03:00:00 - 04:00:00","45518.0833333333","11 %","11.0000","7,04 Go","7564385621.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 04:00:00 - 05:00:00","45518.1250000000","11 %","11.0000","7,01 Go","7524270762.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 05:00:00 - 06:00:00","45518.1666666667","11 %","11.0000","6,99 Go","7506228565.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 06:00:00 - 07:00:00","45518.2083333333","11 %","11.0000","6,99 Go","7508146858.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 07:00:00 - 08:00:00","45518.2500000000","11 %","11.0000","7,01 Go","7526301013.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 08:00:00 - 09:00:00","45518.2916666667","11 %","11.0000","7,02 Go","7534314154.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 09:00:00 - 10:00:00","45518.3333333333","11 %","11.0000","7,03 Go","7549331456.0000","0 %","0.0000","100 %","0000010000"
