"Date et heure","Date et heure(RAW)","Connexions utilisateur","Connexions utilisateur(RAW)","Connexions/s","Connexions/s(RAW)","Déconnexions/s","Déconnexions/s(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","5,50 #","5.5000","0,04 #","0.0355","0,04 #","0.0358","0 %","0.0000","100 %","0000010000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","4 #","4.0000","","0.0070","","0.0070","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","4 #","4.0000","0,05 #","0.0514","0,05 #","0.0514","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","3,50 #","3.5000","0,22 #","0.2223","0,22 #","0.2223","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","5,17 #","5.1667","0,29 #","0.2906","0,29 #","0.2906","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","4,50 #","4.5000","0,26 #","0.2572","0,26 #","0.2570","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","5 #","5.0000","0,30 #","0.2997","0,30 #","0.2999","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","4,50 #","4.5000","0,10 #","0.1033","0,10 #","0.1033","0 %","0.0000","100 %","0000010000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","5 #","5.0000","0,25 #","0.2531","0,25 #","0.2531","0 %","0.0000","100 %","0000010000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","4,50 #","4.5000","0,15 #","0.1505","0,15 #","0.1505","0 %","0.0000","100 %","0000010000"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","4,33 #","4.3333","0,15 #","0.1520","0,15 #","0.1520","0 %","0.0000","100 %","0000010000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","5,83 #","5.8333","0,31 #","0.3106","0,31 #","0.3109","0 %","0.0000","100 %","0000010000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","4,33 #","4.3333","0,28 #","0.2842","0,28 #","0.2839","0 %","0.0000","100 %","0000010000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","4,17 #","4.1667","0,19 #","0.1889","0,19 #","0.1889","0 %","0.0000","100 %","0000010000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","5 #","5.0000","0,28 #","0.2789","0,28 #","0.2792","0 %","0.0000","100 %","0000010000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","4,17 #","4.1667","0,16 #","0.1570","0,16 #","0.1570","0 %","0.0000","100 %","0000010000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","3,83 #","3.8333","0,01 #","0.0136","0,01 #","0.0136","0 %","0.0000","100 %","0000010000"
"13/08/2024 19:00:00 - 20:00:00","45517.7500000000","4 #","4.0000","","0.0067","","0.0067","0 %","0.0000","100 %","0000010000"
"13/08/2024 20:00:00 - 21:00:00","45517.7916666667","4,17 #","4.1667","0,02 #","0.0189","0,02 #","0.0183","0 %","0.0000","100 %","0000010000"
"13/08/2024 21:00:00 - 22:00:00","45517.8333333333","4 #","4.0000","0,03 #","0.0347","0,04 #","0.0353","0 %","0.0000","100 %","0000010000"
"13/08/2024 22:00:00 - 23:00:00","45517.8750000000","4 #","4.0000","0,05 #","0.0483","0,05 #","0.0483","0 %","0.0000","100 %","0000010000"
"13/08/2024 23:00:00 - 00:00:00","45517.9166666667","7,50 #","7.5000","0,32 #","0.3159","0,31 #","0.3142","0 %","0.0000","100 %","0000010000"
"14/08/2024 00:00:00 - 01:00:00","45517.9583333333","9,33 #","9.3333","0,40 #","0.3953","0,40 #","0.3956","0 %","0.0000","100 %","0000010000"
"14/08/2024 01:00:00 - 02:00:00","45518.0000000000","7,67 #","7.6667","0,24 #","0.2356","0,24 #","0.2350","0 %","0.0000","100 %","0000010000"
"14/08/2024 02:00:00 - 03:00:00","45518.0416666667","4,50 #","4.5000","0,03 #","0.0253","0,03 #","0.0272","0 %","0.0000","100 %","0000010000"
"14/08/2024 03:00:00 - 04:00:00","45518.0833333333","4 #","4.0000","","0.0047","","0.0047","0 %","0.0000","100 %","0000010000"
"14/08/2024 04:00:00 - 05:00:00","45518.1250000000","5 #","5.0000","0,29 #","0.2911","0,29 #","0.2909","0 %","0.0000","100 %","0000010000"
"14/08/2024 05:00:00 - 06:00:00","45518.1666666667","5,67 #","5.6667","0,19 #","0.1922","0,19 #","0.1925","0 %","0.0000","100 %","0000010000"
