"Date et heure","Date et heure(RAW)","Mémoire de connexion","Mémoire de connexion(RAW)","Mémoire de l'optimiseur","Mémoire de l'optimiseur(RAW)","Mémoire totale du serveur","Mémoire totale du serveur(RAW)","Mémoire du serveur cible","Mémoire du serveur cible(RAW)","Mémoire du cache SQL","Mémoire du cache SQL(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","1 248 Ko","1248.0000","1 640 Ko","1640.0000","55 295 867 Ko","55295867.3333","55 296 000 Ko","55296000.0000","102 992 Ko","102992.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","1 213 Ko","1213.3333","1 640 Ko","1640.0000","55 295 819 Ko","55295819.3333","55 296 000 Ko","55296000.0000","102 992 Ko","102992.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","1 203 Ko","1202.6667","1 640 Ko","1640.0000","55 293 627 Ko","55293626.6667","55 296 000 Ko","55296000.0000","102 992 Ko","102992.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","1 224 Ko","1224.0000","1 640 Ko","1640.0000","55 295 413 Ko","55295412.6667","55 296 000 Ko","55296000.0000","105 669 Ko","105668.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","1 207 Ko","1206.6667","2 597 Ko","2596.6667","55 295 793 Ko","55295792.6667","55 296 000 Ko","55296000.0000","112 121 Ko","112120.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","1 191 Ko","1191.3333","1 640 Ko","1640.0000","55 295 585 Ko","55295584.6667","55 296 000 Ko","55296000.0000","116 677 Ko","116676.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","1 204 Ko","1204.0000","1 640 Ko","1640.0000","55 295 724 Ko","55295724.0000","55 296 000 Ko","55296000.0000","119 291 Ko","119290.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","1 195 Ko","1194.6667","1 688 Ko","1688.0000","55 295 804 Ko","55295804.0000","55 296 000 Ko","55296000.0000","123 224 Ko","123224.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","1 219 Ko","1218.6667","1 640 Ko","1640.0000","55 295 902 Ko","55295902.0000","55 296 000 Ko","55296000.0000","128 556 Ko","128556.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","1 194 Ko","1194.4615","1 640 Ko","1640.0000","55 294 103 Ko","55294102.7692","55 296 000 Ko","55296000.0000","136 298 Ko","136298.4615","0 %","0.0000","100 %","0000010000"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","1 153 Ko","1152.6667","1 640 Ko","1640.0000","55 296 400 Ko","55296400.0000","55 296 000 Ko","55296000.0000","144 750 Ko","144750.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","1 154 Ko","1154.0000","1 640 Ko","1640.0000","55 295 274 Ko","55295274.0000","55 296 000 Ko","55296000.0000","134 499 Ko","134499.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","1 185 Ko","1185.3333","1 640 Ko","1640.0000","55 295 127 Ko","55295126.6667","55 296 000 Ko","55296000.0000","57 869 Ko","57869.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","1 202 Ko","1202.0000","1 640 Ko","1640.0000","55 293 859 Ko","55293858.6667","55 296 000 Ko","55296000.0000","67 955 Ko","67954.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","1 185 Ko","1184.6667","1 640 Ko","1640.0000","55 295 823 Ko","55295822.6667","55 296 000 Ko","55296000.0000","76 573 Ko","76573.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","1 205 Ko","1205.3333","1 640 Ko","1640.0000","55 295 289 Ko","55295288.6667","55 296 000 Ko","55296000.0000","81 405 Ko","81404.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","1 199 Ko","1199.3333","1 640 Ko","1640.0000","55 290 797 Ko","55290797.3333","55 296 000 Ko","55296000.0000","83 570 Ko","83570.0000","0 %","0.0000","100 %","0000010000"
