"Date et heure","Date et heure(RAW)","Nombre de requêtes de lots/s","Nombre de requêtes de lots/s(RAW)","Compilations SQL/s","Compilations SQL/s(RAW)","Recompilations SQL/s","Recompilations SQL/s(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","0,06 #","0.0622","0,08 #","0.0802","","0.0013","0 %","0.0000","100 %","0000010000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","0,02 #","0.0231","","0.0051","","0.0008","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","0,07 #","0.0680","0,09 #","0.0856","0,04 #","0.0391","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","0,26 #","0.2574","0,21 #","0.2086","","0.0050","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","0,29 #","0.2900","0,23 #","0.2267","","0.0059","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","0,30 #","0.3020","0,25 #","0.2481","0,01 #","0.0125","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","0,31 #","0.3057","0,41 #","0.4079","0,02 #","0.0187","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","0,12 #","0.1234","0,16 #","0.1577","","0.0086","0 %","0.0000","100 %","0000010000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","0,31 #","0.3090","0,39 #","0.3871","0,03 #","0.0298","0 %","0.0000","100 %","0000010000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","0,34 #","0.3430","0,23 #","0.2336","0,02 #","0.0158","0 %","0.0000","100 %","0000010000"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","0,18 #","0.1848","0,21 #","0.2120","0,01 #","0.0108","0 %","0.0000","100 %","0000010000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","0,37 #","0.3650","0,45 #","0.4538","0,02 #","0.0243","0 %","0.0000","100 %","0000010000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","0,32 #","0.3193","0,31 #","0.3131","","0.0053","0 %","0.0000","100 %","0000010000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","0,22 #","0.2203","0,26 #","0.2603","","0.0053","0 %","0.0000","100 %","0000010000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","0,31 #","0.3106","0,39 #","0.3937","0,01 #","0.0135","0 %","0.0000","100 %","0000010000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","0,18 #","0.1799","0,18 #","0.1822","","0.0081","0 %","0.0000","100 %","0000010000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","0,03 #","0.0315","0,02 #","0.0153","","0.0019","0 %","0.0000","100 %","0000010000"
"13/08/2024 19:00:00 - 20:00:00","45517.7500000000","0,02 #","0.0230","","0.0043","","0.0005","0 %","0.0000","100 %","0000010000"
"13/08/2024 20:00:00 - 21:00:00","45517.7916666667","0,03 #","0.0322","0,02 #","0.0168","","0.0008","0 %","0.0000","100 %","0000010000"
"13/08/2024 21:00:00 - 22:00:00","45517.8333333333","0,06 #","0.0591","0,06 #","0.0640","","0.0008","0 %","0.0000","100 %","0000010000"
"13/08/2024 22:00:00 - 23:00:00","45517.8750000000","0,07 #","0.0694","0,07 #","0.0743","","0.0014","0 %","0.0000","100 %","0000010000"
"13/08/2024 23:00:00 - 00:00:00","45517.9166666667","0,35 #","0.3542","0,53 #","0.5257","0,01 #","0.0130","0 %","0.0000","100 %","0000010000"
"14/08/2024 00:00:00 - 01:00:00","45517.9583333333","0,53 #","0.5311","0,57 #","0.5732","","0.0079","0 %","0.0000","100 %","0000010000"
"14/08/2024 01:00:00 - 02:00:00","45518.0000000000","0,26 #","0.2582","0,41 #","0.4084","0,04 #","0.0396","0 %","0.0000","100 %","0000010000"
"14/08/2024 02:00:00 - 03:00:00","45518.0416666667","0,06 #","0.0615","0,06 #","0.0579","","0.0003","0 %","0.0000","100 %","0000010000"
"14/08/2024 03:00:00 - 04:00:00","45518.0833333333","0,02 #","0.0233","","0.0093","","0.0008","0 %","0.0000","100 %","0000010000"
"14/08/2024 04:00:00 - 05:00:00","45518.1250000000","0,32 #","0.3202","0,38 #","0.3818","0,05 #","0.0456","0 %","0.0000","100 %","0000010000"
"14/08/2024 05:00:00 - 06:00:00","45518.1666666667","0,21 #","0.2053","0,21 #","0.2058","","0.0023","0 %","0.0000","100 %","0000010000"
"14/08/2024 06:00:00 - 07:00:00","45518.2083333333","0,22 #","0.2229","0,27 #","0.2706","","0.0098","0 %","0.0000","100 %","0000010000"
