"Date et heure","Date et heure(RAW)","Total","Total(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","2 %","2.1250","0 %","0.0000","100 %","0000010000"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 19:00:00 - 20:00:00","45517.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 20:00:00 - 21:00:00","45517.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 21:00:00 - 22:00:00","45517.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 22:00:00 - 23:00:00","45517.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 23:00:00 - 00:00:00","45517.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 00:00:00 - 01:00:00","45517.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 01:00:00 - 02:00:00","45518.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 02:00:00 - 03:00:00","45518.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 03:00:00 - 04:00:00","45518.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 04:00:00 - 05:00:00","45518.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 05:00:00 - 06:00:00","45518.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 06:00:00 - 07:00:00","45518.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 07:00:00 - 08:00:00","45518.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 08:00:00 - 09:00:00","45518.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 09:00:00 - 10:00:00","45518.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 10:00:00 - 11:00:00","45518.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"14/08/2024 11:00:00 - 12:00:00","45518.4166666667","2 %","2.1667","0 %","0.0000","100 %","0000010000"
"14/08/2024 12:00:00 - 13:00:00","45518.4583333333","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 13:00:00 - 14:00:00","45518.5000000000","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 14:00:00 - 15:00:00","45518.5416666667","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 15:00:00 - 16:00:00","45518.5833333333","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"14/08/2024 16:00:00 - 17:00:00","45518.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 17:00:00 - 18:00:00","45518.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 18:00:00 - 19:00:00","45518.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
