"Date et heure","Date et heure(RAW)","Somme (Volume)","Somme (Volume)(RAW)","Somme (Débit)","Somme (Débit)(RAW)","Trafic entrant (Volume)","Trafic entrant (Volume)(RAW)","Trafic entrant (Débit)","Trafic entrant (Débit)(RAW)","Trafic sortant (Volume)","Trafic sortant (Volume)(RAW)","Trafic sortant (Débit)","Trafic sortant (Débit)(RAW)","Paquets (Volume)","Paquets (Volume)(RAW)","Paquets (Débit)","Paquets (Débit)(RAW)","Paquets reçus (Volume)","Paquets reçus (Volume)(RAW)","Paquets reçus (Débit)","Paquets reçus (Débit)(RAW)","Paquets envoyés (Volume)","Paquets envoyés (Volume)(RAW)","Paquets envoyés (Débit)","Paquets envoyés (Débit)(RAW)","Monodiffusion entrante (Volume)","Monodiffusion entrante (Volume)(RAW)","Monodiffusion entrante (Débit)","Monodiffusion entrante (Débit)(RAW)","Monodiffusion sortante (Volume)","Monodiffusion sortante (Volume)(RAW)","Monodiffusion sortante (Débit)","Monodiffusion sortante (Débit)(RAW)","Paquets non monodiffusion entrants (Volume)","Paquets non monodiffusion entrants (Volume)(RAW)","Paquets non monodiffusion entrants (Débit)","Paquets non monodiffusion entrants (Débit)(RAW)","Paquets non monodiffusion sortants (Volume)","Paquets non monodiffusion sortants (Volume)(RAW)","Paquets non monodiffusion sortants (Débit)","Paquets non monodiffusion sortants (Débit)(RAW)","Erreurs entrantes (Volume)","Erreurs entrantes (Volume)(RAW)","Erreurs entrantes (Débit)","Erreurs entrantes (Débit)(RAW)","Erreurs sortantes (Volume)","Erreurs sortantes (Volume)(RAW)","Erreurs sortantes (Débit)","Erreurs sortantes (Débit)(RAW)","Entrants rejetés (Volume)","Entrants rejetés (Volume)(RAW)","Entrants rejetés (Débit)","Entrants rejetés (Débit)(RAW)","Sortants rejetés (Volume)","Sortants rejetés (Volume)(RAW)","Sortants rejetés (Débit)","Sortants rejetés (Débit)(RAW)","Protocoles inconnus entrants (Volume)","Protocoles inconnus entrants (Volume)(RAW)","Protocoles inconnus entrants (Débit)","Protocoles inconnus entrants (Débit)(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","18 687 Mo","19595215801.9610","46 Mbit/s","5703031.1450","9 857 Mo","10335720832.3174","24 Mbit/s","3008129.0458","8 831 Mo","9259494969.6436","22 Mbit/s","2694902.0992","10 359 222 #","10359222.3845","3 015 #/s","3014.9690","8 349 434 #","8349433.5274","2 430 #/s","2430.0360","2 009 789 #","2009788.8571","585 #/s","584.9330","8 343 330 #","8343329.9088","2 428 #/s","2428.2596","2 009 786 #","2009785.8571","585 #/s","584.9321","3 #","3.0000","","0.0009","6 104 #","6103.6186","1,78 #/s","1.7764","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 %","0.0000","95 %","0000009544"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","4,64 Mo","4865444.0562","0,01 Mbit/s","1351.5385","2,75 Mo","2884210.6291","","801.1852","1,89 Mo","1981233.4271","","550.3533","18 469 #","18469.0332","5,13 #/s","5.1304","12 723 #","12722.7127","3,53 #/s","3.5342","5 746 #","5746.3205","1,60 #/s","1.5962","6 676 #","6675.5313","1,85 #/s","1.8544","5 746 #","5746.3205","1,60 #/s","1.5962","0 #","0.0000","0 #/s","0.0000","6 047 #","6047.1813","1,68 #/s","1.6798","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","26 Mo","27516176.3519","0,06 Mbit/s","7643.4885","3,85 Mo","4035534.2484","","1120.9973","22 Mo","23480642.1036","0,05 Mbit/s","6522.4912","27 782 #","27781.6306","7,72 #/s","7.7172","18 173 #","18172.8503","5,05 #/s","5.0481","9 609 #","9608.7803","2,67 #/s","2.6691","11 108 #","11107.7532","3,09 #/s","3.0855","9 609 #","9608.7803","2,67 #/s","2.6691","0 #","0.0000","0 #/s","0.0000","7 065 #","7065.0971","1,96 #/s","1.9626","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","2 510 Mo","2631912770.7704","5,85 Mbit/s","731101.0966","25 Mo","26548554.0954","0,06 Mbit/s","7374.7418","2 485 Mo","2605364216.6750","5,79 Mbit/s","723726.3549","514 451 #","514450.9716","143 #/s","142.9058","257 148 #","257148.0577","71 #/s","71.4314","257 303 #","257302.9139","71 #/s","71.4744","251 337 #","251336.9525","70 #/s","69.8172","257 303 #","257302.9139","71 #/s","71.4744","0 #","0.0000","0 #/s","0.0000","5 811 #","5811.1052","1,61 #/s","1.6142","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","1 167 Mo","1223240678.3754","2,72 Mbit/s","339795.6845","18 Mo","19262100.7819","0,04 Mbit/s","5350.6876","1 148 Mo","1203978577.5935","2,68 Mbit/s","334444.9969","281 605 #","281604.6595","78 #/s","78.2250","144 917 #","144917.0125","40 #/s","40.2555","136 688 #","136687.6470","38 #/s","37.9695","139 165 #","139164.7497","39 #/s","38.6576","136 688 #","136687.6470","38 #/s","37.9695","0 #","0.0000","0 #/s","0.0000","5 752 #","5752.2628","1,60 #/s","1.5979","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","1 283 Mo","1345503207.8992","2,99 Mbit/s","373757.1204","19 Mo","19842834.9038","0,04 Mbit/s","5511.9905","1 264 Mo","1325660372.9953","2,95 Mbit/s","368245.1299","306 041 #","306040.9699","85 #/s","85.0128","157 251 #","157250.6012","44 #/s","43.6815","148 790 #","148790.3688","41 #/s","41.3313","150 782 #","150782.0262","42 #/s","41.8846","148 790 #","148790.3688","41 #/s","41.3313","0 #","0.0000","0 #/s","0.0000","6 469 #","6468.5750","1,80 #/s","1.7969","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","1 698 Mo","1780362855.6386","3,96 Mbit/s","494554.8540","1 183 Mo","1240757249.3478","2,76 Mbit/s","344661.4932","515 Mo","539605606.2908","1,20 Mbit/s","149893.3608","1 163 838 #","1163837.5868","323 #/s","323.2945","968 577 #","968577.3362","269 #/s","269.0545","195 260 #","195260.2506","54 #/s","54.2400","957 689 #","957689.2366","266 #/s","266.0300","195 257 #","195257.2506","54 #/s","54.2392","3 #","3.0000","","0.0008","10 888 #","10888.0996","3,02 #/s","3.0245","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","2 195 Mo","2301571302.2879","5,11 Mbit/s","639336.0173","1 494 Mo","1566926606.3212","3,48 Mbit/s","435264.6451","701 Mo","734644695.9667","1,63 Mbit/s","204071.3723","1 470 425 #","1470425.4398","408 #/s","408.4583","1 225 429 #","1225428.6878","340 #/s","340.4025","244 997 #","244996.7520","68 #/s","68.0558","1 209 958 #","1209957.8902","336 #/s","336.1050","244 997 #","244996.7520","68 #/s","68.0558","0 #","0.0000","0 #/s","0.0000","15 471 #","15470.7977","4,30 #/s","4.2975","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 %","0.0000","100 %","0000010000"
